label,message
ham,Hey are we meeting today
spam,Congratulations you have won a free mobile
ham,Can you call me later
spam,Limited offer claim your prize now
ham,Let's go for lunch
spam,You have been selected for a cash reward
ham,Are you coming to class tomorrow
spam,Win big cash by clicking this link
ham,Please send the notes
spam,Free entry in a weekly lucky draw
ham,Don't forget our appointment
spam,Get paid to work from home
ham,See you at the party
spam,Exclusive deal just for you
ham,Can you help me with my homework
spam,You won a lottery claim your money
ham,What time is the meeting
spam,Act now to receive your gift   
ham,I'll be there in 10 minutes
spam,Your account has been compromised
ham,Thanks for your help
spam,Lowest prices on electronics today
ham,Happy birthday! Hope you have a great day
spam,You have a new voicemail message
ham,Did you finish the project
spam,Get rich quick with this simple trick
ham,Let's catch up over coffee
spam,This is not a scam claim your cash
ham,Are you free this weekend
spam,You have won a holiday trip
ham,Please review the document
spam,Unlock your potential earnings now
ham,See you at the meeting tomorrow
spam,Congratulations you are a lucky winner
ham,Can you send me the file
spam,Win a brand new car today
ham,Looking forward to our trip
spam,Claim your free gift card now
ham,Don't forget to bring the tickets
spam,Get paid surveys straight to your inbox
ham,Let me know your thoughts
spam,You have been pre-approved for a loan
ham,What are your plans for the weekend
spam,Exclusive invitation to join our program
ham,I'll call you later
spam,Win cash prizes every week
ham,Thanks for the update
spam,Limited time offer don't miss out
ham,See you soon
spam,You have won a shopping spree
ham,Can you meet me at the cafe
spam,Get instant access to your winnings
ham,Please send me the details
spam,You are a winner in our contest
ham,Looking forward to seeing you
spam,Claim your reward before it's too late
ham,Don't forget to submit your assignment
spam,Get paid to watch videos online
ham,Are you attending the event
spam,You have won a free vacation
ham,Let me know if you need anything
spam,Exclusive offer just for you
ham,See you at the conference
spam,Win big prizes now
ham,Can you send me the agenda
spam,You have been selected for a special prize
ham,Thanks for your support
spam,Get rich with this one simple trick
ham,Looking forward to our meeting
spam,Claim your cash reward today
ham,Don't forget our dinner plans
spam,You have won a brand new laptop
ham,Please review the report
spam,Get paid to complete surveys
ham,Are you free for a call
spam,You have won a gift voucher
ham,Let me know your availability
spam,Exclusive deal just for you
ham,See you at the workshop
spam,Win a trip to Bahamas now
ham,Can you send me the presentation
spam,You have been selected for a cash prize
ham,Thanks for the information
spam,Get paid to read emails
